45,2011-12-20,1.2
45,2011-12-20,1.3
45,2012-3-20,1.2
45,2012-6-20,1.5
45,2012-6-20,1.4
45,2012-9-20,1.1
45,2012-9-20,1.3
45,2012-12-20,1.1
45,2012-12-20,0.9
45,2013-3-20,0.8
45,2013-3-20,1.3
45,2013-6-20,1.5
45,2013-6-20,1.3
45,2013-6-20,1
45,2013-9-20,1.1
45,2013-9-20,1.2
45,2013-9-20,1
45,2013-12-20,0.9
67,2015-12-20,1.4
67,2015-12-20,1.6
67,2016-3-20,1.6
67,2016-3-20,1.8
67,2016-3-20,2
67,2016-6-20,1.9
67,2016-6-20,2
67,2016-9-20,1.7
67,2016-9-20,1.8
67,2016-12-20,1.7
67,2017-3-20,1.7
67,2017-6-20,1.8
67,2017-6-20,1.9
67,2017-9-20,1.7
67,2017-12-20,1.5
67,2018-3-20,1.4
67,2018-3-20,1.3
67,2018-3-20,1.7
67,2018-6-20,1.8
67,2018-6-20,1.7
67,2018-6-20,1.5
67,2018-9-20,1.5
67,2018-12-20,1.4
946,2016-12-20,1.92
946,2017-12-20,1.7
946,2018-8-20,1.73
1812,2013-2-28,1.58
1928,2012-12-20,1.37
2202,2012-7-30,1.7
2261,2012-12-6,1.4
2282,2012-12-20,1.45
2282,2017-12-20,2.01
2503,2013-3-19,1.09
2503,2018-3-19,1.69
2531,2012-9-26,1.4
2531,2017-9-26,1.96
2602,2013-9-24,1.49
2768,2012-1-23,2.39
2768,2012-7-27,2.16
2768,2012-9-20,1.79
2768,2013-5-31,2.19
2801,2017-11-17,1.88
2914,2012-7-24,1.68
3101,2013-6-5,1.78
3231,2017-10-31,2.08
3234,2012-11-29,1.56
3382,2013-6-20,1.48
3382,2018-6-20,1.94
3401,2013-5-22,1.56
3404,2012-12-17,1.41
3893,2017-3-27,1.97
3893,2017-5-25,1.96
3941,2012-11-28,1.42
4004,2012-6-19,1.81
4004,2012-11-20,1.49
4005,2016-4-28,2.14
4005,2017-2-27,1.95
4005,2017-9-15,1.94
4005,2013-4-22,1.18
4005,2018-4-20,1.76
4010,2016-12-5,2.05
4010,2018-8-10,2.03
4061,2012-6-8,1.56
4061,2013-6-11,1.63
